Year;NCM;Product;Country;Net.weight;USD.CIF
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Brazil;2189000;66212
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Canada;1614000;624730
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;United States;29178000;7123934
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Mexico;870000;91332
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Peru;1000;156
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;South Korea;186000;82550
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;China;25746000;3226438
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Taiwan;451000;74651
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;India;863000;33918
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Indonesia;12000;2794
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Israel;7000;4660
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Japan;48887000;3912377
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Malaysia;135000;33033
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Singapore;43000;10837
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Vietnam;2416000;50677
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Hong Kong;7000;761
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Austria;307000;160375
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Belgium;661000;31026
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Bulgaria;40000;5485
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Denmark;673000;257820
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Spain;184000;108107
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Finland;176000;78219
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;France;1451000;778111
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Hungary;3456000;469878
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Ireland;79000;56053
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Italy;2528000;478474
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Malta;5000;411
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Netherlands;1231000;337977
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Poland;0;292
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Portugal;1986000;101645
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;United Kingdom;13801000;1736036
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Romania;451000;48624
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Sweden;895000;384576
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Switzerland;14734000;2264274
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Germany;5478000;1532723
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Estonia;87000;43153
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Lithuania;184000;20316
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Russia;30000;10400
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Czech Republic;2000;219
2017;90278099;Instrumentos y aparatos p/analisis fisicos o quimicos, ncop.;Australia;122000;44216
